
     Year         No. of      Temp.       Std.        95% Conf. Interval
      (AD)        Proxies     Anom.       Error       lower        upper
                             (deg. C)
    230.0000     18.0000     -0.2401      0.1364     -0.5130      0.0328
    231.0000     18.0000     -0.2353      0.1364     -0.5082      0.0376
    232.0000     18.0000     -0.2269      0.1364     -0.4998      0.0460
    233.0000     18.0000     -0.2191      0.1364     -0.4920      0.0538
    234.0000     18.0000     -0.2108      0.1364     -0.4837      0.0621
    235.0000     18.0000     -0.2024      0.1364     -0.4752      0.0705
    236.0000     18.0000     -0.1969      0.1364     -0.4698      0.0760
    237.0000     18.0000     -0.1919      0.1364     -0.4648      0.0810
    238.0000     18.0000     -0.1901      0.1364     -0.4630      0.0828
    239.0000     18.0000     -0.1909      0.1364     -0.4638      0.0820
    240.0000     18.0000     -0.1914      0.1364     -0.4643      0.0815
    241.0000     18.0000     -0.1927      0.1364     -0.4655      0.0802
    242.0000     18.0000     -0.1946      0.1364     -0.4675      0.0783
    243.0000     18.0000     -0.1941      0.1364     -0.4670      0.0787
    244.0000     18.0000     -0.1919      0.1364     -0.4648      0.0810
    245.0000     18.0000     -0.1893      0.1364     -0.4622      0.0835
    246.0000     18.0000     -0.1844      0.1364     -0.4573      0.0885
    247.0000     18.0000     -0.1775      0.1364     -0.4504      0.0954
    248.0000     18.0000     -0.1738      0.1364     -0.4467      0.0991
    249.0000     18.0000     -0.1693      0.1364     -0.4422      0.1036
    250.0000     18.0000     -0.1650      0.1364     -0.4378      0.1079
    251.0000     18.0000     -0.1622      0.1364     -0.4351      0.1107
    252.0000     18.0000     -0.1577      0.1364     -0.4306      0.1151
    253.0000     18.0000     -0.1527      0.1364     -0.4256      0.1202
    254.0000     18.0000     -0.1460      0.1364     -0.4189      0.1269
    255.0000     18.0000     -0.1394      0.1364     -0.4123      0.1335
    256.0000     18.0000     -0.1308      0.1364     -0.4037      0.1420
    257.0000     18.0000     -0.1237      0.1364     -0.3966      0.1492
    258.0000     18.0000     -0.1179      0.1364     -0.3908      0.1550
    259.0000     18.0000     -0.1099      0.1364     -0.3828      0.1630
    260.0000     18.0000     -0.1026      0.1364     -0.3755      0.1703
    261.0000     18.0000     -0.0971      0.1364     -0.3700      0.1758
    262.0000     18.0000     -0.0932      0.1364     -0.3660      0.1797
    263.0000     18.0000     -0.0883      0.1364     -0.3612      0.1846
    264.0000     18.0000     -0.0860      0.1364     -0.3589      0.1869
    265.0000     18.0000     -0.0824      0.1364     -0.3553      0.1905
    266.0000     18.0000     -0.0800      0.1364     -0.3529      0.1929
    267.0000     18.0000     -0.0749      0.1364     -0.3478      0.1980
    268.0000     18.0000     -0.0699      0.1364     -0.3428      0.2030
    269.0000     18.0000     -0.0652      0.1364     -0.3381      0.2076
    270.0000     18.0000     -0.0605      0.1364     -0.3333      0.2124
    271.0000     18.0000     -0.0558      0.1364     -0.3287      0.2171
