"year","month","yr_part","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) Global","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) NH","OSIRIS Stratospheric Aerosol Optical Depth (550 nm) SH"
2019,8,2019.625,0.0111,0.0123,0.0099
2019,9,2019.70833333333,0.0106,0.0128,0.0096
2019,10,2019.79166666667,0.0089,0.0118,0.0085
2019,11,2019.875,0.0077,0.0119,0.0076
2019,12,2019.95833333333,0.0084,NA,0.0084
2020,1,2020.04166666667,0.0184,NA,0.0184
2020,2,2020.125,0.0142,0.0124,0.0145
2020,3,2020.20833333333,0.0146,0.0153,0.0163
2020,4,2020.29166666667,0.0132,0.0171,0.016
2020,5,2020.375,0.0077,0.0077,NA
